"module","command","value","runtime_editable","scalability","setting_target","baseline_fps","test_fps","fps_delta_percent","quality_risk","adoption_status","priority","notes"
"Lumen / Reflections","r.Lumen.Reflections.Temporal.MaxFramesAccumulated","6","true","false","Runtime console or user setting if adopted","64.61","64.56","-0.08","Medium: reduces temporal accumulation for Lumen reflections. Can improve responsiveness/cost but may increase noise or instability.","neutral_paired_ab_no_material_gain","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / GI","r.Lumen.ScreenProbeGather.MaxRoughnessToEvaluateRoughSpecular","0.4","true","false","Runtime console or user setting if adopted","62.80","60.92","-2.99","Medium/High: limits rough specular evaluation in screen probe gather. Can reduce Lumen GI/reflection cost but may change rough-specular lighting.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Foliage","r.Lumen.ScreenProbeGather.MaxRoughnessToEvaluateRoughSpecularForFoliage","0.4","true","false","Runtime console or user setting if adopted","63.80","63.52","-0.44","Medium/High: limits rough specular evaluation for foliage. Can help foliage-heavy scenes but may change foliage lighting.","neutral_paired_ab_no_material_gain","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"D3D12 / Materials","D3D12.UseUpdateTexture3DComputeShader","1","true","false","Runtime console or DeviceProfile if adopted","59.55","62.22","4.48","Low: switches 3D texture updates to compute shader path. Expected visual output equivalent; performance depends on update workload and GPU scheduling.","d3d12_texture_update_compute_candidate_visual_review_required","Low","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Landscape / Foliage","foliage.CullDistanceScale","0.5","true","false","DefaultScalability.ini foliage lower tiers or DeviceProfile","60.11","61.93","3.03","Medium/High: reduces foliage cull distance scale where foliage types opt in. Can improve cost but may remove distant foliage.","foliage_cull_distance_quality_tradeoff_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Landscape / Foliage","foliage.LODDistanceScale","0.5","true","false","DefaultScalability.ini foliage lower tiers or DeviceProfile","59.97","61.73","2.93","Medium: changes foliage LOD distance scaling. Can reduce foliage vertex cost but may increase visible LOD transitions.","foliage_lod_distance_quality_tradeoff_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Landscape / Foliage","foliage.MinimumScreenSize","0.0000075","true","false","DefaultScalability.ini foliage lower tiers or DeviceProfile","60.63","62.04","2.33","Medium: raises foliage screen-size culling threshold. Can improve distant foliage cost but may remove small/far instances.","foliage_screen_size_cull_quality_tradeoff_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Landscape / Foliage","foliage.MaxOcclusionQueriesPerComponent","8","true","false","Runtime console or DeviceProfile if adopted","58.24","59.35","1.91","Low/Medium: reduces foliage occlusion query granularity. Can reduce query overhead but may reduce culling precision.","foliage_occlusion_query_tradeoff_visual_review_required","Low","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows","r.shadow.ShadowMapsRenderEarly","1","true","false","Runtime console or DeviceProfile if adopted","57.69","57.80","0.19","Low: changes shadow pass scheduling earlier in frame. Visual output should be equivalent; may help or hurt async compute overlap.","neutral_paired_ab_no_material_gain","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.Cache.AllocateViaLRU","1","true","false","Runtime console or DeviceProfile if adopted","59.20","61.94","4.63","Low/Medium: changes VSM physical page allocation policy to prefer recently used cached pages. May improve cache behavior but can cause local instability if workload differs.","vsm_cache_lru_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.Cache.FramesStaticThreshold","50","true","false","Runtime console or DeviceProfile if adopted","57.33","55.71","-2.83","Low/Medium: changes frames-before-static threshold for VSM caching. Visual output should remain equivalent, but cache update timing may change.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Materials / Decals","r.Decal.NormalReprojectionEnabled","1","true","false","Runtime console or user setting if adopted","56.11","54.15","-3.49","Quality-upside candidate: enables previous-frame normal reprojection for DBuffer decal SceneTexture normals when valid. May improve decal normal stability but can add cost or temporal artifacts.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Low","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.Clipmap.FirstCoarseLevel","15","true","false","Runtime console or DeviceProfile if adopted","56.38","57.33","1.68","Medium: starts VSM coarse page marking farther out. Can reduce near-camera page pressure but may affect systems relying on coarse shadow pages.","vsm_coarse_page_range_tradeoff_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.Clipmap.LastCoarseLevel","9","true","false","Runtime console or DeviceProfile if adopted","55.90","56.62","1.29","Medium: shortens VSM coarse page marking range. Can reduce page counts but may affect far coarse shadow information.","vsm_coarse_page_range_tradeoff_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Reflections / SSR","r.SSR.Compute","1","true","false","Runtime console or DeviceProfile if adopted","57.63","54.75","-5.00","Low: uses compute path for supported SSR cases. Visual output should be equivalent; performance depends on SSR mode and GPU scheduling.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Recovered from valid FPSChart logs after process-exit timeout. Visual review required before project config adoption."
"Reflections / SSR","r.SSR.Stencil","1","true","false","Runtime console or DeviceProfile if adopted","56.91","56.92","0.02","Low/Medium: enables stencil prepass use for SSR. Can reduce SSR work in some scenes but adds/uses stencil setup.","neutral_paired_ab_no_material_gain","Medium","Recovered from valid FPSChart logs after process-exit timeout. Visual review required before project config adoption."
"Reflections","r.Reflections.Denoiser","1","true","false","Runtime console or lower scalability tier if adopted","57.54","57.45","-0.16","Medium: selects reflection denoising algorithm. Can change denoiser quality/performance and must be visually reviewed.","neutral_paired_ab_no_material_gain","Medium","Recovered from valid FPSChart logs after process-exit timeout. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.Cache.MaxLightAgeSinceLastRequest","5","true","false","Runtime console or DeviceProfile if adopted","55.89","57.28","2.49","Low/Medium: reduces how long unused local-light VSM pages stay cached. May reduce cache memory/maintenance but can increase misses if lights reappear.","vsm_cache_lifetime_candidate_visual_review_required","Medium","Recovered from valid FPSChart logs after process-exit timeout. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.Clipmap.UseConservativeCulling","0","true","false","Runtime console or DeviceProfile if adopted","56.14","57.35","2.16","Low/Medium: disables conservative non-Nanite VSM culling if enabled. Can reduce submissions but risks missing conservative shadow coverage in edge cases.","vsm_culling_candidate_visual_review_required","Medium","Recovered from valid FPSChart logs after process-exit timeout. Visual review required before project config adoption."
"Shadows","r.Shadow.Preshadows","0","true","false","Runtime console or lower scalability tier if adopted","53.93","54.24","0.57","High: disables preshadows, including static world casting onto characters. Can improve cost but may visibly remove character/object shadowing detail.","shadow_preshadow_quality_tradeoff_visual_review_required","Medium","Recovered from valid FPSChart logs after process-exit timeout. Visual review required before project config adoption."
"Reflections","r.Reflections.Denoiser.TemporalAccumulation","0","true","false","Runtime console or lower scalability tier if adopted","58.26","57.72","-0.93","Medium/High: disables temporal accumulation for reflection denoising. Can reduce cost/latency but may increase noise.","neutral_paired_ab_no_material_gain","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Reflections","r.Lumen.Reflections.BilateralFilter.KernelRadius","4","true","false","Runtime console or lower scalability tier if adopted","58.26","59.02","1.30","Medium: lowers/sets screen-space reflection spatial filter kernel radius. Can reduce filtering cost but may change reflection noise/detail.","lumen_reflection_bilateral_filter_tradeoff_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Reflections","r.Lumen.Reflections.DenoiserTonemapRange","5","true","false","Runtime console or lower scalability tier if adopted","56.99","57.41","0.74","Medium: lowers reflection denoiser tonemap range. Can reduce firefly/high-intensity handling cost but may affect bright reflections.","lumen_reflection_denoiser_range_tradeoff_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Nanite","r.Nanite.FastVisBufferClear","1","true","false","Runtime console or DeviceProfile if adopted","55.03","56.24","2.20","Low: visual output should be equivalent.","nanite_fast_vis_buffer_clear_candidate_visual_review_required","Medium","Recovered from valid FPSChart logs after outer shell timeout. Visual review required before project config adoption."
"Nanite","r.Nanite.StaticGeometryInstanceCull","1","true","false","Do not adopt","","","","Crash/no FPSChart in current D3D12 baseline.","reject_crash_no_fpschart_do_not_adopt","Reject","Launch crashed before FPSChart in D3D12/RHI startup. Log: <ProjectRoot>\Saved\Logs\RenderCommandExperiment_AB_r_Nanite_StaticGeometryInstanceCull_1.log"
"Post Processing / Depth of Field","r.DOF.Gather.AccumulatorQuality","0","true","true","DefaultScalability.ini PostProcessQuality lower tiers","134.33","121.12","-9.83","Medium: lowers DOF gather accumulator quality. Can improve performance but may reduce bokeh/blur quality.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / Depth of Field","r.DOF.Gather.RingCount","2","true","true","DefaultScalability.ini PostProcessQuality lower tiers","116.72","117.40","0.58","Medium/High: reduces DOF gather kernel ring count from the typical high-quality value. May visibly simplify bokeh blur.","dof_gather_ring_count_tradeoff_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / Depth of Field","r.DOF.Kernel.MaxBackgroundRadius","0.0125","true","true","DefaultScalability.ini PostProcessQuality lower tiers","123.08","121.49","-1.29","Medium: halves maximum background blur radius. Can reduce DOF cost but changes cinematic blur strength.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / Depth of Field","r.DOF.Kernel.MaxForegroundRadius","0.0125","true","true","DefaultScalability.ini PostProcessQuality lower tiers","111.70","115.45","3.36","Medium: halves maximum foreground blur radius. Can reduce DOF cost but changes foreground blur strength.","dof_foreground_radius_tradeoff_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / Volumetric Fog","r.VolumetricFog.Filtering.Quality","0","true","true","DefaultScalability.ini EffectsQuality lower tiers","129.57","140.05","8.09","Medium: switches volumetric fog filtering to lower quality/trilinear path. Can reduce cost but may affect fog smoothness.","volumetric_fog_filter_quality_tradeoff_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / Bloom","r.Bloom.CacheKernel","1","true","false","Runtime console or DeviceProfile if adopted","117.16","124.09","5.91","Low: caches FFT bloom kernel in spectral domain. Visual output should be equivalent; may reduce repeated kernel setup cost.","retest_after_gpu_memory_available","P1","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / Depth of Field","r.DOF.TemporalAAQuality","0","true","true","DefaultScalability.ini PostProcessQuality lower tiers","125.12","135.19","8.05","Medium: lowers temporal AA quality for DOF pass. May reduce blur stability or increase aliasing/noise around out-of-focus areas.","retest_after_gpu_memory_available","P0","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Translucency / Lighting Volume","r.TranslucencyLightingVolume.Batch","1","true","true","DefaultScalability.ini EffectsQuality or DeviceProfile","132.96","142.94","7.51","Low: batches supported lights for translucency lighting volume. Visual output should be equivalent for supported paths.","retest_after_gpu_memory_available","P1","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Translucency / Lighting Volume","r.TranslucencyLightingVolume.AsyncComputeClear","1","true","true","DefaultScalability.ini EffectsQuality or DeviceProfile","131.07","141.77","8.16","Low: clears translucency lighting volume using async compute. Visual output should be equivalent; performance depends on async compute pressure.","retest_after_d3d12_adapter_available","P1","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"材质","r.NormalMapsForStaticLighting","1","true","false","DefaultEngine.ini [/Script/Engine.RendererSettings]","138.93","137.02","-1.37","untested","reject_for_now_repeated_pair_loss_or_scene_not_benefiting","","Repeated-pair multi-process result on <BenchmarkMap>. PairCount=2; pair deltas=-0.70;-2.04; median delta=-1.37%. Baseline median=138.93 FPS, test median=137.02 FPS. Odd pairs run baseline->test, even pairs run test->baseline."
"材质","r.Streaming.MipBias","0","true","true","DefaultScalability.ini","137.57","133.72","-2.75","untested","reject_for_now_repeated_pair_loss_or_scene_not_benefiting","","Repeated-pair multi-process result on <BenchmarkMap>. PairCount=2; pair deltas=1.69;-7.19; median delta=-2.75%. Baseline median=137.57 FPS, test median=133.72 FPS. Odd pairs run baseline->test, even pairs run test->baseline."
"光线追踪","r.AlphaInvertPass","1","true","false","DefaultEngine.ini [/Script/Engine.RendererSettings]","138.73","136.18","-1.03","untested","invalid_retest_required_repeated_pair_high_variance","","Repeated-pair multi-process result on <BenchmarkMap>. PairCount=4; pair deltas=-1.73;2.21;-5.67;-0.34; median delta=-1.03%; pair spread threshold=5.00%. Baseline median=138.73 FPS, test median=136.18 FPS. Odd pairs run baseline->test, even pairs run test->baseline."
"光线追踪","r.FastBlurThreshold","0","true","true","DefaultScalability.ini","136.09","129.12","-5.24","untested","reject_for_now_repeated_pair_loss_or_scene_not_benefiting","","Repeated-pair retest rejected this command; previous positive same-process result was warmup-biased. Repeated-pair multi-process result on <BenchmarkMap>. PairCount=2; pair deltas=-2.59;-7.89; median delta=-5.24%. Baseline median=136.09 FPS, test median=129.12 FPS. Odd pairs run baseline->test, even pairs run test->baseline."
"光线追踪","r.MegaLights.FrontLayerTranslucency.Allow","1","true","true","DefaultScalability.ini","136.58","137.40","-0.84","Invalid measurement: no-op control showed +6.65% second-window warmup drift in same batch. Retest before judging quality or performance.","invalid_retest_required_repeated_pair_high_variance","","Repeated-pair multi-process result on <BenchmarkMap>. PairCount=4; pair deltas=-3.19;7.73;1.20;-2.88; median delta=-0.84%; pair spread threshold=5.00%. Baseline median=136.58 FPS, test median=137.40 FPS. Odd pairs run baseline->test, even pairs run test->baseline."
"Mobile Renderer / Shadows","r.Mobile.SupportInsetShadows","1","true","true","DefaultScalability.ini","128.64","129.75","1.76","Platform-specific: Mobile renderer inset-shadow support. The stable +1.76% desktop D3D12 result is not enough to justify a Windows default; evaluate only for mobile targets.","do_not_adopt_windows_desktop_mobile_platform_only_review","","4-pair repeated result was stable (+1.76%), but this is an r.Mobile command and should not be written into the Windows/D3D12 desktop config draft. Keep for mobile-platform review only."
"光线追踪","r.ParticleLightQuality","0","true","true","DefaultScalability.ini","142.05","122.02","-14.09","untested","reject_for_now_repeated_pair_loss_or_scene_not_benefiting","","Repeated-pair multi-process result on <BenchmarkMap>. PairCount=2; pair deltas=-15.40;-12.78; median delta=-14.09%; pair spread threshold=5.00%. Baseline median=142.05 FPS, test median=122.02 FPS. Odd pairs run baseline->test, even pairs run test->baseline."
"Path Tracing / Denoiser","r.PathTracing.Denoiser.Prepass.RankedLuminanceVariance","1","true","false","DefaultEngine.ini [/Script/Engine.RendererSettings]","128.76","138.24","7.40","Medium: changes Path Tracing denoiser prepass luminance variance ranking. It can alter path-traced denoising/noise/detail balance; treat as offline/path-tracing visual review only.","repeated_pair_quality_tradeoff_candidate_visual_review_required","","Repeated-pair multi-process result on <BenchmarkMap>: +7.40% median FPS, pair deltas 8.26% and 6.53%. Path Tracing denoiser setting; keep as visual-review quality/performance tradeoff, not a low-risk realtime default."
"通用","r.VSync","0","true","false","Do not adopt; control row only","130.84","129.75","-0.81","Control/no-op row; not a project setting candidate.","valid_control_do_not_adopt","","Repeated-pair multi-process result on <BenchmarkMap>. PairCount=2; pair deltas=-0.22;-1.39; median delta=-0.81%. Baseline median=130.84 FPS, test median=129.75 FPS. Odd pairs run baseline->test, even pairs run test->baseline."
