"application_bucket","apply_recommendation","module","command","value","fps_delta_percent","quality_risk","visual_review_required","target_file","target_section","in_scalability","config_target","adoption_status","quality_impact","notes"
"quality_tradeoff_or_lower_tier_only","quality_tradeoff_review_only","Materials","r.DetailMode","1","7.37","High: hides actors/components assigned to higher detail modes. Can boost performance if the map uses detail-mode gating, but can remove scene dressing.","true","DefaultScalability.ini","EffectsQuality@0;EffectsQuality@1;EffectsQuality@2;EffectsQuality@3;EffectsQuality@Cine","true","DefaultScalability.ini EffectsQuality lower tiers","detail_mode_tradeoff_candidate_visual_review_required","High: hides actors/components assigned to higher detail modes. Can boost performance if the map uses detail-mode gating, but can remove scene dressing.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"quality_tradeoff_or_lower_tier_only","quality_tradeoff_review_only","Materials","r.MaterialQualityLevel","0","8.02","High: switches materials using quality switches to low quality. Can improve shader cost only if project materials use quality branches, but may visibly remove expensive material features.","true","DefaultScalability.ini","EffectsQuality@0;EffectsQuality@1;EffectsQuality@2;EffectsQuality@3;EffectsQuality@Cine","true","DefaultScalability.ini EffectsQuality lower tiers","material_quality_tradeoff_candidate_visual_review_required","High: switches materials using quality switches to low quality. Can improve shader cost only if project materials use quality branches, but may visibly remove expensive material features.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"quality_tradeoff_or_lower_tier_only","quality_tradeoff_review_only","Shadows","r.Shadow.CSM.MaxCascades","1","2.85","High: reduces directional-light CSM cascade count. Can improve shadow cost but may visibly reduce shadow coverage and transition quality.","true","DefaultScalability.ini","ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine","true","DefaultScalability.ini ShadowQuality lower tiers","shadow_csm_tradeoff_candidate_visual_review_required","High: reduces directional-light CSM cascade count. Can improve shadow cost but may visibly reduce shadow coverage and transition quality.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"quality_tradeoff_or_lower_tier_only","quality_tradeoff_review_only","Shadows","r.Shadow.Preshadows","0","0.57","High: disables preshadows, including static world casting onto characters. Can improve cost but may visibly remove character/object shadowing detail.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or lower scalability tier if adopted","shadow_preshadow_quality_tradeoff_visual_review_required","High: disables preshadows, including static world casting onto characters. Can improve cost but may visibly remove character/object shadowing detail.","Recovered from valid FPSChart logs after process-exit timeout. Visual review required before project config adoption."
"quality_tradeoff_or_lower_tier_only","quality_tradeoff_review_only","Texture Streaming","r.Streaming.MaxEffectiveScreenSize","1","0.88","High: clamps effective screen size for texture streaming. Can strongly reduce mip demand but may visibly blur textures.","true","DefaultScalability.ini","TextureQuality@0;TextureQuality@1;TextureQuality@2;TextureQuality@3;TextureQuality@Cine","true","DefaultScalability.ini TextureQuality lower tiers","texture_streaming_tradeoff_candidate_visual_review_required","High: clamps effective screen size for texture streaming. Can strongly reduce mip demand but may visibly blur textures.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"visual_review_candidate","quality_tradeoff_review_only","GI / Ambient Occlusion","r.AmbientOcclusionLevels","0","1.76","Medium/High: disables or minimizes SSAO mip levels depending on current AO path. Can reduce AO cost but may flatten contact shading.","true","DefaultScalability.ini","PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","true","DefaultScalability.ini PostProcessQuality lower tiers","ao_quality_tradeoff_candidate_visual_review_required","Medium/High: disables or minimizes SSAO mip levels depending on current AO path. Can reduce AO cost but may flatten contact shading.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"visual_review_candidate","quality_tradeoff_review_only","Landscape / Foliage","foliage.CullDistanceScale","0.5","3.03","Medium/High: reduces foliage cull distance scale where foliage types opt in. Can improve cost but may remove distant foliage.","true","DefaultScalability.ini","ScalabilitySectionReviewRequired","false","DefaultScalability.ini foliage lower tiers or DeviceProfile","foliage_cull_distance_quality_tradeoff_visual_review_required","Medium/High: reduces foliage cull distance scale where foliage types opt in. Can improve cost but may remove distant foliage.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"visual_review_candidate","quality_tradeoff_review_only","Lumen / GI","r.Lumen.ScreenProbeGather.NumAdaptiveProbes","4","9.58","Medium/High: reduces adaptive Lumen probes. Can improve GI cost but may lose indirect lighting detail in difficult areas.","true","DefaultScalability.ini","GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","lumen_probe_tradeoff_candidate_visual_review_required","Medium/High: reduces adaptive Lumen probes. Can improve GI cost but may lose indirect lighting detail in difficult areas.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"visual_review_candidate","quality_tradeoff_review_only","Lumen / GI","r.LumenScene.DirectLighting.MaxLightsPerTile","4","8.17","Medium/High: limits Lumen surface-cache direct lights per tile. Can improve cost in many-light scenes but may drop lower-priority direct-light contribution.","true","DefaultScalability.ini","GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","lumen_direct_lighting_tradeoff_candidate_visual_review_required","Medium/High: limits Lumen surface-cache direct lights per tile. Can improve cost in many-light scenes but may drop lower-priority direct-light contribution.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"visual_review_candidate","quality_tradeoff_review_only","Lumen / Translucency","r.Lumen.TranslucencyVolume.Enable","0","0.94","Medium/High: disables Lumen translucency volume lighting. Can improve cost in translucent/foggy scenes but may reduce GI quality on translucent volumes.","true","DefaultScalability.ini","GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","lumen_translucency_tradeoff_candidate_visual_review_required","Medium/High: disables Lumen translucency volume lighting. Can improve cost in translucent/foggy scenes but may reduce GI quality on translucent volumes.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"visual_review_candidate","quality_tradeoff_review_only","Post Processing / Depth of Field","r.DOF.Gather.RingCount","2","0.58","Medium/High: reduces DOF gather kernel ring count from the typical high-quality value. May visibly simplify bokeh blur.","true","DefaultScalability.ini","PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","true","DefaultScalability.ini PostProcessQuality lower tiers","dof_gather_ring_count_tradeoff_visual_review_required","Medium/High: reduces DOF gather kernel ring count from the typical high-quality value. May visibly simplify bokeh blur.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"visual_review_candidate","quality_tradeoff_review_only","Reflections","r.SSR.Quality","1","5.19","Medium/High: lowers screen-space reflection quality; may no-op or be less visible if Lumen reflections dominate, but reflective materials need review.","true","DefaultScalability.ini","ReflectionQuality@0;ReflectionQuality@1;ReflectionQuality@2;ReflectionQuality@3;ReflectionQuality@Cine","true","DefaultScalability.ini ReflectionQuality","quality_tradeoff_candidate_visual_review_required","Medium/High: lowers screen-space reflection quality; may no-op or be less visible if Lumen reflections dominate, but reflective materials need review.","Quality/performance tradeoff candidate from paired A/B; visual review required before project config adoption."
"visual_review_candidate","quality_tradeoff_review_only","Shadows","r.ContactShadows","0","3.36","Medium/High: reduces small grounding/contact shadow detail","true","DefaultScalability.ini","ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3","true","DefaultScalability.ini ShadowQuality lower tiers","shadow_tradeoff_candidate","Medium/High: reduces small grounding/contact shadow detail","Candidate for lower ShadowQuality tiers; visually inspect character/object grounding."
